,IB1,IB2,IB3,IB4,NM1,NM2,PM1,PM2,R1,VDD,VIN1,VIN2,VSS
IB1,0,0,0,0,M_S,0,M_D,0,R_C,0,0,0,0
IB2,0,0,0,0,0,M_S,0,M_D,R_C,0,0,0,0
IB3,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0
IB4,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0
NM1,M_S,0,M_D,0,0,0,0,0,0,0,M_G,0,M_B
NM2,0,M_S,0,M_D,0,0,0,0,0,0,0,M_G,M_B
PM1,M_D,0,M_G,0,0,0,0,0,0,M_BS,0,0,0
PM2,0,M_D,0,M_G,0,0,0,0,0,M_BS,0,0,0
R1,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0
VIN1,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,0,0,0,0,0,0,0
