,NET1,NET2,NET3,NET4,NM1,NM2,R1,R2,R3,R4,VB1,VDD,VSS
NET1,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0
NET2,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0
NET3,0,0,0,0,M_S,0,0,0,R_C,0,0,0,0
NET4,0,0,0,0,0,M_S,0,0,0,R_C,0,0,0
NM1,M_D,0,M_S,0,0,0,0,0,0,0,M_G,0,M_B
NM2,0,M_D,0,M_S,0,0,0,0,0,0,M_G,0,M_B
R1,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0
R3,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C
R4,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C
VB1,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,0,0,R_C,R_C,0,0,0
