,C1,C2,C3,NET1,NET2,NM1,NM2,NM3,R1,R2,R3,VDD,VOUT1,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
C2,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C
NET1,0,C_C,0,0,0,0,M_D,M_G,0,R_C,0,0,0,0
NET2,0,0,C_C,0,0,M_G,0,M_D,0,0,R_C,0,0,0
NM1,0,0,0,0,M_G,0,0,0,0,0,0,0,M_D,M_BS
NM2,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,M_BS
NM3,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,M_BS
R1,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0
R2,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0,0
R3,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0
VDD,0,0,0,0,0,0,0,0,R_C,R_C,R_C,0,0,0
VOUT1,C_C,0,0,0,0,M_D,M_G,0,R_C,0,0,0,0,0
VSS,C_C,C_C,C_C,0,0,M_BS,M_BS,M_BS,0,0,0,0,0,0
