,IB1,IB2,IB3,NET1,NET2,NET3,NET4,NET5,NET6,NM1,NM2,NM3,NM4,NM5,NM6,R1,R2,R3,R4,R5,R6,VDD,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,R_C,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,M_D,0,0,0,M_G,0,0,R_C,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,M_G,R_C,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,R_C,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,R_C,0,0,0
NET6,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,R_C,0,0,0,0,0
NM1,0,0,M_S,0,M_D,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM2,0,0,M_S,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM3,0,M_S,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM4,0,M_S,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM5,M_S,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM6,M_S,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
R1,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R3,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R4,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R5,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R6,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,R_C,R_C,R_C,0,0
VSS,0,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0
