,IB1,IB2,IB3,NM1,NM2,NM3,NM4,PM1,PM2,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
IB1,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0
IB2,0,0,0,0,M_S,0,0,0,M_G,0,0,0,0,0,0
IB3,0,0,0,M_S,0,0,0,M_G,0,0,0,0,0,0,0
NM1,0,0,M_S,0,0,0,0,0,0,M_D,0,0,0,M_G,M_B
NM2,0,M_S,0,0,0,0,0,0,0,M_D,0,0,M_G,0,M_B
NM3,M_S,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
NM4,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
PM1,0,0,M_G,0,0,0,0,0,0,M_BS,0,0,0,M_D,0
PM2,0,M_G,0,0,0,0,0,0,0,M_BS,0,0,M_D,0,0
VDD,0,0,0,M_D,M_D,0,0,M_BS,M_BS,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,M_G,M_D,0,0,M_D,0,0,0,0,0,0
VOUT2,0,0,0,M_G,0,0,M_D,M_D,0,0,0,0,0,0,0
VSS,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0
