,IB1,IB2,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM10,NM11,NM12,NM13,NM2,NM3,NM4,NM5,NM6,NM7,NM8,NM9,PM1,PM2,R1,R2,R3,R4,VCONT1,VCONT2,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,M_G,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,M_G,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,M_G,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM10,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_B
NM11,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,M_B
NM12,M_S,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B
NM13,M_S,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_B
NM2,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM5,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM6,0,0,0,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM7,0,0,0,0,0,0,M_G,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_B
NM8,0,0,0,0,M_G,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_B
NM9,0,0,0,M_G,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_B,0,0,0,0,0
PM2,0,M_S,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
R3,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
R4,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,R_C,R_C,R_C,R_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
