,C1,C2,IB1,L1,NET1,NET2,NET3,NM1,NM2,R1,R2,R3,VDD,VIN1,VOUT1,VSS
C1,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0
IB1,C_C,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
NET1,0,C_C,0,0,0,0,0,0,M_S,0,R_C,0,0,0,0,0
NET2,0,C_C,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
NET3,0,0,0,0,0,0,0,M_S,0,R_C,0,0,0,0,0,0
NM1,0,0,M_DG,0,0,0,M_S,0,0,0,0,0,0,0,0,M_B
NM2,0,0,M_G,0,M_S,0,0,0,0,0,0,0,0,0,M_D,M_B
R1,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0,0
VDD,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VOUT1,0,0,0,L_C,0,0,0,0,M_D,0,0,0,0,0,0,0
VSS,C_C,0,0,0,0,0,0,M_B,M_B,R_C,R_C,0,0,0,0,0
