,C1,C2,IB1,L1,L2,NET1,NET2,NET3,NM1,NM2,NM3,R1,R2,VDD,VIN1,VSS
C1,0,0,0,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C
IB1,0,C_C,0,0,0,0,0,0,M_DG,0,M_G,0,0,0,0,0
L1,0,0,0,0,0,L_C,0,0,0,0,0,0,0,L_C,0,0
L2,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,L_C
NET1,C_C,0,0,L_C,0,0,0,0,0,M_D,0,R_C,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0
NET3,0,0,0,0,L_C,0,0,0,0,0,M_S,0,R_C,0,0,0
NM1,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,M_G,0,M_B
NM3,0,0,M_G,0,0,0,M_D,M_S,0,0,0,0,0,0,0,M_B
R1,0,0,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0,0
R2,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0
VDD,C_C,0,0,L_C,0,0,0,0,0,M_G,0,R_C,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
VSS,0,C_C,0,0,L_C,0,0,0,M_BS,M_B,M_B,0,0,0,0,0
