,C1,C2,C3,C4,IB1,L1,L2,L3,NET1,NET2,NET3,NET4,NET5,NM1,NM2,NM3,R1,R2,R3,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
IB1,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,R_C,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,L_C
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
NET1,C_C,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,R_C,0,0,0,0,0,0
NET3,0,C_C,0,0,0,L_C,L_C,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0
NET5,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
NM1,0,0,0,0,0,0,0,0,0,M_G,M_S,M_D,0,0,0,0,0,0,0,0,0,0,M_B
NM2,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM3,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
R1,0,0,0,0,R_C,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0,0
VDD,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,M_G,0,0,R_C,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VOUT1,0,0,0,C_C,0,0,0,L_C,0,0,0,0,0,0,M_D,0,0,R_C,0,0,0,0,0
VSS,0,C_C,C_C,C_C,0,0,L_C,0,0,0,0,0,0,M_B,M_B,M_BS,0,0,0,0,0,0,0
