,C1,C2,IB1,NET1,NET2,NET3,NM1,NM2,NM3,PM1,R1,R2,R3,VDD,VIN1,VOUT1,VSS
C1,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0
IB1,C_C,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0
NET1,0,C_C,0,0,0,0,0,0,M_D,M_D,R_C,0,0,0,0,0,0
NET2,0,C_C,0,0,0,0,M_G,0,0,0,0,0,R_C,0,0,0,0
NET3,0,0,0,0,0,0,0,M_G,M_G,M_G,R_C,R_C,0,0,0,0,0
NM1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,M_D,0,M_S,M_B
NM2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM3,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,M_S,M_D,0,M_G,0,0,0,0,0,0,0,M_B,0,0,0
R1,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0,0
R3,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C,0,0,0
VDD,0,0,0,0,0,0,M_D,0,0,M_B,0,0,R_C,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
VOUT1,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0
VSS,C_C,0,0,0,0,0,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0
