,L1,NET1,NM1,PM1,PM2,R1,R2,VB1,VB2,VB3,VDD,VIN1,VOUT1,VSS
L1,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
NET1,0,0,M_S,0,0,R_C,0,0,0,0,0,0,0,0
NM1,0,M_S,0,0,0,0,0,M_G,0,0,0,0,M_D,M_B
PM1,0,0,0,0,0,0,0,0,0,M_G,M_BS,0,M_D,0
PM2,0,0,0,0,0,0,0,0,M_G,0,M_BS,0,M_D,0
R1,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0,0
R2,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0
VB1,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VB3,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VDD,L_C,0,0,M_BS,M_BS,0,R_C,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VOUT1,L_C,0,M_D,M_D,M_D,0,R_C,0,0,0,0,0,0,0
VSS,0,0,M_B,0,0,0,0,0,0,0,0,0,0,0
