,L1,L2,L3,NET1,NET2,NET3,NM1,NM2,NM3,VB1,VDD,VIN1,VOUT1,VSS
L1,0,0,0,0,0,0,0,0,0,0,L_C,0,L_C,0
L2,0,0,0,0,0,L_C,0,0,0,0,0,0,0,L_C
L3,0,0,0,0,L_C,0,0,0,0,0,0,L_C,0,0
NET1,0,0,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0
NET2,0,0,L_C,0,0,0,0,0,M_G,0,0,0,0,0
NET3,0,L_C,0,0,0,0,0,0,M_S,0,0,0,0,0
NM1,0,0,0,M_S,0,0,0,0,0,M_G,M_D,0,0,M_B
NM2,0,0,0,M_S,0,0,0,0,0,0,M_G,0,M_D,M_B
NM3,0,0,0,M_D,M_G,M_S,0,0,0,0,0,0,0,M_B
VB1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VDD,L_C,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0
VIN1,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0
VOUT1,L_C,0,0,0,0,0,0,M_D,0,0,0,0,0,0
VSS,0,L_C,0,0,0,0,M_B,M_B,M_B,0,0,0,0,0
