,L1,L2,L3,L4,NET1,NET2,NM1,NM2,NM3,NM4,VB1,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
L1,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C
L3,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C
L4,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0
NET1,0,0,0,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,M_S,0,0,0,0,0,M_G,0,0,M_D,0,M_B
NM2,0,0,0,0,0,M_D,0,0,0,0,M_G,0,M_S,0,0,0,M_B
NM3,0,0,0,0,M_D,0,0,0,0,0,M_G,0,0,M_S,0,0,M_B
NM4,0,0,0,0,M_S,0,0,0,0,0,0,M_G,0,0,0,M_D,M_B
VB1,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0
VDD,L_C,0,0,L_C,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0
VIN1,0,L_C,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0
VIN2,0,0,L_C,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0
VOUT1,L_C,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,L_C,0,0,0,0,0,M_D,0,0,0,0,0,0,0
VSS,0,L_C,L_C,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0
