,C1,IB1,L1,NET1,NM1,NM2,R1,R2,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
C1,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
IB1,0,0,L_C,0,M_S,M_S,0,0,0,0,0,0,0,0
L1,0,L_C,0,L_C,0,0,0,0,0,0,0,0,0,0
NET1,C_C,0,L_C,0,0,0,0,0,0,0,0,0,0,0
NM1,0,M_S,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
NM2,0,M_S,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
R1,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
R2,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
VDD,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0
VSS,C_C,0,0,0,M_B,M_B,0,0,0,0,0,0,0,0
