,C1,C10,C11,C12,C2,C3,C4,C5,C6,C7,C8,C9,NET1,NET2,NET3,NET4,R1,R2,R3,R4,R5,R6,R7,R8,VIN1,VIN2,VIN3,VIN4,VOUT1,VOUT2,VOUT3,VOUT4,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C
C10,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0
C11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C
C3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
C4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C5,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0
C6,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0
C7,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0
C8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0
C9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,C_C,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0,0,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
R5,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0
R6,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
R8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN3,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN4,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0
VOUT3,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
VOUT4,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
VSS,C_C,0,0,0,C_C,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
