,C1,C2,C3,C4,NM1,NM2,R1,R2,VLO1,VLO2,VOUT1,VOUT2,VRF1,VSS
C1,0,0,0,0,0,0,0,0,C_C,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0
C3,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0,0
C4,0,0,0,0,0,0,0,0,0,C_C,0,0,C_C,0
NM1,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_S,M_B
NM2,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_S,M_B
R1,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C
R2,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C
VLO1,C_C,C_C,0,0,0,M_G,0,0,0,0,0,0,0,0
VLO2,0,0,C_C,C_C,M_G,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,0,0,M_D,0,R_C,0,0,0,0,0,0
VOUT2,0,0,C_C,0,M_D,0,R_C,0,0,0,0,0,0,0
VRF1,C_C,0,0,C_C,M_S,M_S,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,R_C,R_C,0,0,0,0,0,0
