,NM1,NM2,NM3,NM4,R1,R2,VLO1,VLO2,VOUT1,VOUT2,VRF1,VRF2,VSS
NM1,0,0,0,0,0,0,0,M_G,M_D,0,0,M_S,M_B
NM2,0,0,0,0,0,0,M_G,0,M_D,0,M_S,0,M_B
NM3,0,0,0,0,0,0,M_G,0,0,M_D,0,M_S,M_B
NM4,0,0,0,0,0,0,0,M_G,0,M_D,M_S,0,M_B
R1,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C
R2,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C
VLO1,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0
VLO2,M_G,0,0,M_G,0,0,0,0,0,0,0,0,0
VOUT1,M_D,M_D,0,0,0,R_C,0,0,0,0,0,0,0
VOUT2,0,0,M_D,M_D,R_C,0,0,0,0,0,0,0,0
VRF1,0,M_S,0,M_S,0,0,0,0,0,0,0,0,0
VRF2,M_S,0,M_S,0,0,0,0,0,0,0,0,0,0
VSS,M_B,M_B,M_B,M_B,R_C,R_C,0,0,0,0,0,0,0
