,NET1,NET2,NM1,NM2,NM3,NM4,R1,R2,VDD,VIN1,VLO1,VLO2,VOUT1,VOUT2,VSS
NET1,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0
NET2,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0
NM1,0,M_G,0,0,0,0,0,0,0,0,0,0,M_D,0,M_BS
NM2,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM3,0,M_D,0,0,0,0,0,0,0,M_S,M_G,0,0,0,M_B
NM4,M_D,0,0,0,0,0,0,0,0,M_S,0,M_G,0,0,M_B
R1,0,0,0,0,0,0,0,0,R_C,0,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0,0
VDD,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0
VIN1,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VOUT1,0,0,M_D,0,0,0,0,R_C,0,0,0,0,0,0,0
VOUT2,0,0,0,M_D,0,0,R_C,0,0,0,0,0,0,0,0
VSS,0,0,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0
