,NET1,NET2,NM1,NM2,NM3,NM4,NM5,NM6,R1,R2,VDD,VIF1,VIF2,VLO1,VLO2,VRF1,VRF2,VSS
NET1,0,0,M_S,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,M_D,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0
NM1,M_S,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,M_B
NM2,M_S,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_G,0,0,M_B
NM3,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS
NM4,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_BS
NM5,0,M_S,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,0,M_B
NM6,0,M_S,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,0,0,M_B
R1,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0
VIF1,0,0,0,M_D,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0,0
VIF2,0,0,M_D,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0,0,0
VLO1,0,0,M_G,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VRF1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VRF2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,M_B,M_B,M_BS,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0,0
