,NET1,NM1,NM2,NM3,PM1,PM2,R1,R2,VB1,VDD,VIF1,VIF2,VLO1,VLO2,VRF1,VSS
NET1,0,M_D,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0
NM1,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_BS
NM2,M_S,0,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,M_B
NM3,M_S,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,0,M_B
PM1,0,0,0,0,0,0,0,0,M_G,M_BS,M_D,0,0,0,0,0
PM2,0,0,0,0,0,0,0,0,M_G,M_BS,0,M_D,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0
VB1,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,M_BS,M_BS,R_C,R_C,0,0,0,0,0,0,0,0
VIF1,0,0,0,M_D,M_D,0,R_C,0,0,0,0,0,0,0,0,0
VIF2,0,0,M_D,0,0,M_D,0,R_C,0,0,0,0,0,0,0,0
VLO1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VRF1,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,M_BS,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0
