,C1,L1,NET1,NET2,NM1,NM2,NM3,PM1,R1,R2,VB1,VDD,VIF1,VIF2,VLO1,VLO2,VRF1,VSS
C1,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
L1,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,C_C,L_C,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
NET2,0,L_C,0,0,M_S,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,M_S,0,0,0,0,0,0,0,0,0,M_D,0,M_G,0,M_B
NM2,0,0,0,M_S,0,0,0,0,0,0,0,0,M_D,0,M_G,0,0,M_B
NM3,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_BS
PM1,0,0,M_D,0,0,0,0,0,0,0,M_G,M_BS,0,0,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0
VB1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,M_BS,R_C,R_C,0,0,0,0,0,0,0,0
VIF1,0,0,0,0,0,M_D,0,0,R_C,0,0,0,0,0,0,0,0,0
VIF2,0,0,0,0,M_D,0,0,0,0,R_C,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VRF1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VSS,C_C,0,0,0,M_B,M_B,M_BS,0,0,0,0,0,0,0,0,0,0,0
