,C1,IB1,IIN1,L1,NM1,NM2,R1,R2,VDD,VIF1,VIF2,VLO1,VLO2,VSS
C1,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0
IB1,C_C,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0
IIN1,C_C,0,0,L_C,0,0,0,0,0,0,0,0,0,0
L1,0,0,L_C,0,0,0,0,0,L_C,0,0,0,0,0
NM1,0,M_S,0,0,0,0,0,0,0,M_D,0,M_G,0,M_B
NM2,0,M_S,0,0,0,0,0,0,0,0,M_D,0,M_G,M_B
R1,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0
R2,0,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0
VDD,0,0,0,L_C,0,0,R_C,R_C,0,0,0,0,0,0
VIF1,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0
VIF2,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0
VLO1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,0,0,0,0,0,0,0,0
