,L1,NM1,NM2,NM3,NM4,R1,VBB1,VBB2,VLO1,VLO2,VOUT1,VOUT2,VSS
L1,0,0,0,0,0,0,0,0,0,0,L_C,L_C,0
NM1,0,0,0,0,0,0,0,M_S,M_G,0,M_D,0,M_B
NM2,0,0,0,0,0,0,M_S,0,0,M_G,M_D,0,M_B
NM3,0,0,0,0,0,0,M_S,0,M_G,0,0,M_D,M_B
NM4,0,0,0,0,0,0,0,M_S,0,M_G,0,M_D,M_B
R1,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0
VBB1,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0
VBB2,0,M_S,0,0,M_S,0,0,0,0,0,0,0,0
VLO1,0,M_G,0,M_G,0,0,0,0,0,0,0,0,0
VLO2,0,0,M_G,0,M_G,0,0,0,0,0,0,0,0
VOUT1,L_C,M_D,M_D,0,0,R_C,0,0,0,0,0,0,0
VOUT2,L_C,0,0,M_D,M_D,R_C,0,0,0,0,0,0,0
VSS,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0
