,C1,C2,C3,C4,NM1,NM2,NM3,NM4,VBB1,VBB2,VLO1,VLO2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C3,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C,0,0
C4,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C,0
NM1,0,0,0,0,0,0,0,0,M_S,0,M_G,0,0,M_D,M_B
NM2,0,0,0,0,0,0,0,0,0,M_S,0,M_G,0,M_D,M_B
NM3,0,0,0,0,0,0,0,0,M_S,0,0,M_G,M_D,0,M_B
NM4,0,0,0,0,0,0,0,0,0,M_S,M_G,0,M_D,0,M_B
VBB1,0,0,0,0,M_S,0,M_S,0,0,0,0,0,0,0,0
VBB2,0,0,0,0,0,M_S,0,M_S,0,0,0,0,0,0,0
VLO1,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0
VLO2,0,0,C_C,C_C,0,M_G,M_G,0,0,0,0,0,0,0,0
VOUT1,0,C_C,C_C,0,0,0,M_D,M_D,0,0,0,0,0,0,0
VOUT2,C_C,0,0,C_C,M_D,M_D,0,0,0,0,0,0,0,0,0
VSS,C_C,C_C,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0
