,L1,L2,NET1,NET2,NM1,NM2,NM3,NM4,NM5,NM6,R1,R2,VDD,VIN1,VIN2,VLO1,VLO2,VRF1,VRF2,VSS
L1,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0
NET1,0,0,0,0,0,M_D,0,M_S,0,M_S,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,M_D,0,M_S,0,M_S,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_BS
NM2,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
NM3,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
NM4,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_B
NM5,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
NM6,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,M_B
R1,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,R_C,0,0
VDD,L_C,L_C,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VRF1,0,L_C,0,0,0,0,0,0,M_D,M_D,0,R_C,0,0,0,0,0,0,0,0
VRF2,L_C,0,0,0,0,0,M_D,M_D,0,0,R_C,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0
