,IB1,L1,L2,NET1,NET2,NM1,NM2,NM3,NM4,NM5,NM6,VDD,VIN1,VIN2,VLO1,VLO2,VRF1,VRF2,VSS
IB1,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0
NET1,0,0,0,0,0,M_D,0,M_S,0,M_S,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,M_D,0,M_S,0,M_S,0,0,0,0,0,0,0,0
NM1,M_S,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_B
NM2,M_S,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_B
NM3,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,M_B
NM4,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,M_B
NM5,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_B
NM6,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,M_B
VDD,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0,0,0
VRF1,0,0,L_C,0,0,0,0,M_D,M_D,0,0,0,0,0,0,0,0,0,0
VRF2,0,L_C,0,0,0,0,0,0,0,M_D,M_D,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,M_B,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0
