,L1,L2,NET1,NM1,NM2,NM3,VDD,VIF1,VIF2,VLO1,VLO2,VRF1,VSS
L1,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0
L2,0,0,0,0,0,0,L_C,0,L_C,0,0,0,0
NET1,0,0,0,M_S,M_S,M_D,0,0,0,0,0,0,0
NM1,0,0,M_S,0,0,0,0,0,M_D,0,M_G,0,M_B
NM2,0,0,M_S,0,0,0,0,M_D,0,M_G,0,0,M_B
NM3,0,0,M_D,0,0,0,0,0,0,0,0,M_G,M_BS
VDD,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0
VIF1,L_C,0,0,0,M_D,0,0,0,0,0,0,0,0
VIF2,0,L_C,0,M_D,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VLO2,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VRF1,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VSS,0,0,0,M_B,M_B,M_BS,0,0,0,0,0,0,0
