,C1,C2,C3,C4,IB1,IB2,L1,L2,NET1,NET2,NET3,NM1,NM2,R1,VDD,VSS
C1,0,0,0,0,0,C_C,0,0,C_C,0,0,0,0,0,0,0
C2,0,0,0,0,C_C,0,0,0,0,0,C_C,0,0,0,0,0
C3,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
C4,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,C_C
IB1,0,C_C,0,C_C,0,0,0,0,0,0,0,M_S,0,0,0,0
IB2,C_C,0,C_C,0,0,0,0,0,0,0,0,0,M_S,0,0,0
L1,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,0
L2,0,0,0,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0
NET1,C_C,0,0,0,0,0,L_C,0,0,0,0,0,M_G,0,0,0
NET2,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0,R_C,0,0
NET3,0,C_C,0,0,0,0,0,L_C,0,0,0,M_G,0,0,0,0
NM1,0,0,0,0,M_S,0,0,0,0,0,M_G,0,0,0,M_D,M_B
NM2,0,0,0,0,0,M_S,0,0,M_G,0,0,0,0,0,M_D,M_B
R1,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,0,0,0,0,M_D,M_D,R_C,0,0
VSS,0,0,C_C,C_C,0,0,0,0,0,0,0,M_B,M_B,0,0,0
