,C1,C2,IB1,L1,L2,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,VCONT1,VDD,VSS
C1,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0
L1,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,L_C,0,0,0,0,0,0,0,L_C,0
NET1,C_C,0,0,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0
NET2,0,C_C,0,L_C,0,0,0,0,0,0,0,0,M_G,M_D,0,0,0
NET3,C_C,0,0,0,L_C,0,0,0,0,0,0,0,M_D,M_G,0,0,0
NET4,0,C_C,0,0,0,0,0,0,0,M_D,0,M_D,0,0,0,0,0
NM1,0,0,0,0,0,M_S,0,0,M_D,0,0,0,0,0,M_G,0,M_B
NM2,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,M_BS
NM3,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,M_G,0,M_BS
NM4,0,0,M_S,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,M_B
NM5,0,0,M_S,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_B
VCONT1,0,0,0,0,0,0,0,0,0,M_G,M_G,M_G,0,0,0,0,0
VDD,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,M_B,M_BS,M_BS,M_B,M_B,0,0,0
