,C1,C2,IB1,L1,L2,L3,NET1,NET2,NET3,NM1,NM2,VDD,VSS
C1,0,0,0,0,0,0,0,0,C_C,0,0,C_C,0
C2,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
IB1,0,C_C,0,0,0,L_C,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,L_C,0,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0
L3,0,0,L_C,0,0,0,0,0,L_C,0,0,0,0
NET1,0,0,0,L_C,0,0,0,0,0,M_G,M_D,0,0
NET2,0,0,0,0,L_C,0,0,0,0,M_D,M_G,0,0
NET3,C_C,0,0,0,0,L_C,0,0,0,M_S,M_S,0,0
NM1,0,0,0,0,0,0,M_G,M_D,M_S,0,0,0,M_B
NM2,0,0,0,0,0,0,M_D,M_G,M_S,0,0,0,M_B
VDD,C_C,0,0,L_C,L_C,0,0,0,0,0,0,0,0
VSS,0,C_C,0,0,0,0,0,0,0,M_B,M_B,0,0
