,IB1,IB2,L1,L2,NET1,NET2,NM1,NM2,NM3,NM4,VDD,VIN1,VIN2,VSS
IB1,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0
IB2,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0
L1,0,0,0,0,L_C,0,0,0,0,0,L_C,0,0,0
L2,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0,0
NET1,0,0,L_C,0,0,0,0,M_D,M_G,M_D,0,0,0,0
NET2,0,0,0,L_C,0,0,M_D,0,M_D,M_G,0,0,0,0
NM1,0,M_S,0,0,0,M_D,0,0,0,0,0,M_G,0,M_B
NM2,0,M_S,0,0,M_D,0,0,0,0,0,0,0,M_G,M_B
NM3,M_S,0,0,0,M_G,M_D,0,0,0,0,0,0,0,M_B
NM4,M_S,0,0,0,M_D,M_G,0,0,0,0,0,0,0,M_B
VDD,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0
