,IB1,L1,L2,NET1,NET2,NET3,NM1,NM2,NM3,NM4,R1,VCONT1,VDD,VSS
IB1,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0
L1,0,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0
L2,0,0,0,L_C,0,L_C,0,0,0,0,0,0,0,0
NET1,0,0,L_C,0,0,0,M_G,0,M_D,M_G,0,0,0,0
NET2,0,L_C,0,0,0,0,0,M_G,M_G,M_D,0,0,0,0
NET3,0,L_C,L_C,0,0,0,0,0,0,0,R_C,0,0,0
NM1,0,0,0,M_G,0,0,0,0,0,0,0,M_DS,0,M_B
NM2,0,0,0,0,M_G,0,0,0,0,0,0,M_DS,0,M_B
NM3,M_S,0,0,M_D,M_G,0,0,0,0,0,0,0,0,M_B
NM4,M_S,0,0,M_G,M_D,0,0,0,0,0,0,0,0,M_B
R1,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0
VCONT1,0,0,0,0,0,0,M_DS,M_DS,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
VSS,0,0,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0
