,C1,C2,NET1,NET2,NET3,NM1,NM2,PM1,PM2,R1,VB1,VB2,VCONT1,VCONT2,VCONT3,VDD,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C2,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
NET1,0,C_C,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0
NM1,0,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM2,0,0,0,0,M_S,0,0,0,0,0,0,M_G,0,0,M_D,0,M_B
PM1,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0
PM2,0,0,0,M_S,0,0,0,0,0,0,M_G,0,0,0,M_D,M_B,0
R1,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0
VB1,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VCONT1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VCONT3,C_C,0,0,0,0,0,M_D,0,M_D,R_C,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,M_BS,M_B,0,0,0,0,0,0,0,0
VSS,C_C,C_C,0,0,0,M_BS,M_B,0,0,0,0,0,0,0,0,0,0
