,IB1,IB2,IB3,IB4,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,R1,R2,R3,R4,VDD,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0
IB4,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,M_G,M_D,M_D,0,0,0,0,M_G,0,0,R_C,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,M_D,M_D,0,0,0,0,R_C,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_G,0,M_D,R_C,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,M_D,M_G,0,M_D,0,0,M_G,0,0,R_C,0,0,0,0
NM1,0,0,0,M_S,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM2,0,0,0,M_S,M_D,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM3,0,0,M_S,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM4,0,0,M_S,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM5,0,M_S,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM6,0,M_S,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM7,M_S,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM8,M_S,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
R1,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R3,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
R4,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,R_C,0,0
VSS,0,0,0,0,0,0,0,0,M_B,M_B,M_B,M_B,M_B,M_B,M_B,M_B,0,0,0,0,0,0
