,L1,L2,NET1,NET2,NM1,NM2,NM3,NM4,NM5,NM6,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
L1,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0
NET1,0,0,0,0,M_S,M_S,0,0,0,M_D,0,0,0,0,0,0
NET2,0,0,0,0,0,0,M_S,M_S,M_D,0,0,0,0,0,0,0
NM1,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM2,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM3,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,M_DG,M_B
NM4,0,0,0,M_S,0,0,0,0,0,0,0,0,0,M_DG,0,M_B
NM5,0,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM6,0,0,M_D,0,0,0,0,0,0,0,0,M_G,0,0,0,M_BS
VDD,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VOUT1,0,L_C,0,0,M_D,M_G,0,M_DG,0,0,0,0,0,0,0,0
VOUT2,L_C,0,0,0,M_G,M_D,M_DG,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,M_B,M_B,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0
