,C1,C2,IB1,L1,L2,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,NM7,NM8,R1,R2,VB1,VDD,VLO1,VLO2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
IB1,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,0,L_C,0
L2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0,0
NET1,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_D,M_D,0,R_C,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0,M_D,0,R_C,0,0,0,0,0,0,0
NM1,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_B
NM2,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,M_B
NM3,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM4,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_BS
NM5,0,0,0,0,0,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B
NM6,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_B
NM7,0,0,0,0,0,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B
NM8,0,0,0,0,0,M_S,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_B
R1,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
VB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0
VDD,0,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,0,L_C,0,0,0,0,M_G,M_D,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT2,C_C,0,0,L_C,0,0,0,0,0,M_D,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0
