,C1,C2,L1,L2,NET1,NM1,NM2,NM3,VDD,VIN1,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
C2,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
L1,0,0,0,0,0,0,0,0,L_C,0,0,L_C,0
L2,0,0,0,0,0,0,0,0,L_C,0,L_C,0,0
NET1,0,0,0,0,0,M_D,M_S,M_S,0,0,0,0,0
NM1,0,0,0,0,M_D,0,0,0,0,M_G,0,0,M_BS
NM2,0,0,0,0,M_S,0,0,0,0,0,M_G,M_D,M_B
NM3,0,0,0,0,M_S,0,0,0,0,0,M_D,M_G,M_B
VDD,0,0,L_C,L_C,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VOUT1,0,C_C,0,L_C,0,0,M_G,M_D,0,0,0,0,0
VOUT2,C_C,0,L_C,0,0,0,M_D,M_G,0,0,0,0,0
VSS,C_C,C_C,0,0,0,M_BS,M_B,M_B,0,0,0,0,0
