,C1,C2,C3,L1,L2,NET1,NET2,NET3,NM1,R1,VDD,VIN1,VSS
C1,0,0,0,0,0,0,0,C_C,0,0,0,0,C_C
C2,0,0,0,0,0,0,C_C,0,0,0,0,0,C_C
C3,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0
L1,0,0,0,0,0,0,L_C,L_C,0,0,0,0,0
L2,0,0,0,0,0,L_C,0,0,0,0,L_C,0,0
NET1,0,0,C_C,0,L_C,0,0,0,M_D,0,0,0,0
NET2,0,C_C,C_C,L_C,0,0,0,0,0,0,0,0,0
NET3,C_C,0,0,L_C,0,0,0,0,0,R_C,0,0,0
NM1,0,0,0,0,0,M_D,0,0,0,0,0,M_G,M_BS
R1,0,0,0,0,0,0,0,R_C,0,0,0,0,R_C
VDD,0,0,0,0,L_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,M_G,0,0,0,0
VSS,C_C,C_C,0,0,0,0,0,0,M_BS,R_C,0,0,0
