,C1,C2,C3,L1,NET1,NET2,NET3,NET4,NM1,NM2,R1,R2,R3,VB1,VDD,VIN1,VSS
C1,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,C_C,0
C3,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0
L1,0,0,0,0,L_C,0,0,0,0,0,0,0,0,0,L_C,0,0
NET1,0,0,C_C,L_C,0,0,0,0,M_D,M_D,0,0,0,0,0,0,0
NET2,0,0,C_C,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
NET3,C_C,0,0,0,0,0,0,0,0,M_G,R_C,0,0,0,0,0,0
NET4,0,C_C,0,0,0,0,0,0,M_G,0,0,R_C,0,0,0,0,0
NM1,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,M_BS
R1,0,0,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0,0,0
R2,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
VB1,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
VDD,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,M_BS,M_BS,0,R_C,R_C,0,0,0,0
