,C1,C2,IIN1,NET1,NET2,NM1,PM1,R1,R2,VDD,VIN1,VOUT1,VSS
C1,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0
C2,0,0,C_C,0,0,0,0,0,0,0,0,0,C_C
IIN1,0,C_C,0,0,0,0,M_S,0,0,0,0,0,0
NET1,C_C,0,0,0,0,M_G,M_G,R_C,0,0,0,0,0
NET2,C_C,0,0,0,0,0,0,0,R_C,0,0,0,0
NM1,0,0,0,M_G,0,0,0,0,0,0,0,M_D,M_BS
PM1,0,0,M_S,M_G,0,0,0,0,0,M_B,0,M_D,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,R_C,0,0,0,0,0,R_C,0,0
VDD,0,0,0,0,0,0,M_B,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VOUT1,0,0,0,0,0,M_D,M_D,R_C,0,0,0,0,0
VSS,0,C_C,0,0,0,M_BS,0,0,0,0,0,0,0
