,C1,C2,C3,IB1,NET1,NET2,NET3,NET4,NM1,PM1,PM2,R1,R2,R3,R4,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
C2,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C3,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0,0,0,0,0
IB1,0,C_C,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0
NET1,C_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET2,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
NET3,0,0,0,0,0,0,0,0,M_D,M_G,M_D,0,0,R_C,0,0,0,0,0
NET4,0,0,C_C,0,0,0,0,0,M_G,0,M_G,0,R_C,R_C,0,0,0,0,0
NM1,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,M_B,0,M_S,M_D
PM2,0,0,0,M_S,0,0,M_D,M_G,0,0,0,0,0,0,0,M_B,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0
R2,0,0,0,0,R_C,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
R3,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0
R4,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0,0
VDD,0,0,0,0,0,0,0,0,0,M_B,M_B,R_C,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VOUT1,C_C,0,0,0,0,0,0,0,0,M_S,0,R_C,0,0,0,0,0,0,0
VSS,0,C_C,0,0,0,0,0,0,M_BS,M_D,0,0,0,0,0,0,0,0,0
