,IB1,NET1,NET2,NM1,NM2,NM3,NM4,NM5,PM1,PM2,R1,R2,VCONT1,VCONT2,VCONT3,VIN1,VLO1,VLO2,VOUT1,VOUT2,VSS
IB1,0,0,0,0,0,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,M_D,0,M_D,M_D,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,M_D,M_S,M_S,M_S,M_G,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_G,0,0,0,M_B
NM2,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_G,0,0,M_B
NM3,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,M_B
NM4,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,M_B
NM5,0,M_D,M_S,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,M_B
PM1,M_BS,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0
PM2,M_BS,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VCONT1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO1,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VLO2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0,0,0,0
VOUT2,0,0,0,0,0,0,0,0,0,M_D,0,R_C,0,0,0,0,0,0,0,0,0
VSS,0,0,0,M_B,M_B,M_B,M_B,M_B,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0
