,IB1,IB2,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,PM1,PM2,PM3,PM4,PM5,PM6,R1,R10,R2,R3,R4,R5,R6,R7,R8,R9,VCONT1,VCONT2,VCONT3,VCONT4,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,R_C,0,R_C,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0,0,R_C,0,R_C,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
