,C1,C2,IB1,IB2,NET1,NET2,NET3,NM1,NM2,NM3,NM4,PM1,PM2,PM3,PM4,VCONT1,VCONT2,VCONT3,VCONT4,VDD,VSS
C1,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0
IB1,C_C,0,0,0,0,0,0,M_DG,0,M_D,0,0,0,0,0,0,0,0,0,0,0
IB2,0,C_C,0,0,0,0,0,0,0,0,0,M_S,0,0,M_DG,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,0,0,0,M_D,M_D,M_G,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,M_D,M_S,M_G,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_D,0,0,0,0,0,0,0
NM1,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BS
NM3,0,0,M_D,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B
NM4,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_B,0
PM2,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS,0
PM3,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
PM4,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0
VCONT1,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VCONT4,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,C_C,0,0,0,0,0,0,0,0,0,M_B,M_BS,M_BS,M_BS,0,0,0,0,0,0
VSS,C_C,0,0,0,0,0,0,M_BS,M_BS,M_B,M_BS,0,0,0,0,0,0,0,0,0,0
