,IB1,IOUT1,IOUT2,NET1,NET2,NET3,NM1,NM2,NM3,NM4,NM5,R1,VSS
IB1,0,0,0,0,0,0,0,0,0,M_G,M_G,R_C,0
IOUT1,0,0,0,0,0,0,0,0,0,0,M_D,0,0
IOUT2,0,0,0,0,0,0,0,0,0,M_D,0,0,0
NET1,0,0,0,0,0,0,0,0,M_D,M_S,0,0,0
NET2,0,0,0,0,0,0,0,M_D,0,0,M_S,0,0
NET3,0,0,0,0,0,0,M_DG,M_G,M_G,0,0,R_C,0
NM1,0,0,0,0,0,M_DG,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,M_D,M_G,0,0,0,0,0,0,M_BS
NM3,0,0,0,M_D,0,M_G,0,0,0,0,0,0,M_BS
NM4,M_G,0,M_D,M_S,0,0,0,0,0,0,0,0,M_B
NM5,M_G,M_D,0,0,M_S,0,0,0,0,0,0,0,M_B
R1,R_C,0,0,0,0,R_C,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,M_BS,M_B,M_B,0,0
