,IB1,NET2,NET3,NET4,NPN1,NPN2,PNP1,PNP2,PNP3,PNP4,VIN1,VOUT1,VSS
IB1,0,0,0,0,0,0,0,B_E,0,B_E,0,0,0
NET2,0,0,0,0,B_BC,B_B,0,0,0,B_C,0,0,0
NET3,0,0,0,0,0,0,0,0,B_E,B_B,0,0,0
NET4,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0
NPN1,0,B_BC,0,0,0,0,0,0,0,0,0,0,B_E
NPN2,0,B_B,0,0,0,0,0,0,0,0,0,B_C,B_E
PNP1,0,0,0,B_E,0,0,0,0,0,0,0,0,B_BC
PNP2,B_E,0,0,B_B,0,0,0,0,0,0,0,B_C,0
PNP3,0,0,B_E,0,0,0,0,0,0,0,B_B,0,B_C
PNP4,B_E,B_C,B_B,0,0,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,B_B,0,0,0,0
VOUT1,0,0,0,0,0,B_C,0,B_C,0,0,0,0,0
VSS,0,0,0,0,B_E,B_E,B_BC,0,B_C,0,0,0,0
