,NET2,NET3,NET4,NPN1,NPN2,NPN3,R1,R2,R3,R4,VDD,VOUT1,VSS
NET2,0,0,0,0,B_B,B_BC,0,0,0,R_C,0,0,0
NET3,0,0,0,B_B,B_C,0,0,R_C,0,0,0,0,0
NET4,0,0,0,0,B_E,0,0,0,R_C,0,0,0,0
NPN1,0,B_B,0,0,0,0,0,0,0,0,0,B_C,B_E
NPN2,B_B,B_C,B_E,0,0,0,0,0,0,0,0,0,0
NPN3,B_BC,0,0,0,0,0,0,0,0,0,0,0,B_E
R1,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0
R2,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0
R3,0,0,R_C,0,0,0,0,0,0,0,0,0,R_C
R4,R_C,0,0,0,0,0,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,R_C,0,0,0,0,0,0
VOUT1,0,0,0,B_C,0,0,R_C,R_C,0,R_C,0,0,0
VSS,0,0,0,B_E,0,B_E,0,0,R_C,0,0,0,0
