,IB1,NET2,NET3,NET4,NPN1,NPN2,R1,R2,R3,R4,R5,VOUT1,VSS
IB1,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
NET2,0,0,0,0,0,0,R_C,0,R_C,R_C,0,0,0
NET3,0,0,0,0,0,B_B,0,0,0,R_C,R_C,0,0
NET4,0,0,0,0,B_BC,B_C,0,R_C,0,0,0,0,0
NPN1,0,0,0,B_BC,0,0,0,0,0,0,0,B_E,0
NPN2,0,0,B_B,B_C,0,0,0,0,0,0,0,0,B_E
R1,0,R_C,0,0,0,0,0,0,0,0,0,R_C,0
R2,R_C,0,0,R_C,0,0,0,0,0,0,0,0,0
R3,0,R_C,0,0,0,0,0,0,0,0,0,0,R_C
R4,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0
R5,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,B_E,0,R_C,0,0,0,0,0,0
VSS,0,0,0,0,0,B_E,0,0,R_C,0,0,0,0
