,IB1,IIN1,IIN2,NET1,NM1,NM2,NM3,NM4,PM1,PM2,PM3,VDD,VOUT1,VSS
IB1,0,0,0,0,0,0,0,0,0,M_G,M_DG,0,0,0
IIN1,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0,0
IIN2,0,0,0,0,0,M_G,M_D,0,0,0,0,0,0,0
NET1,0,0,0,0,M_G,M_D,0,0,M_G,M_D,0,0,0,0
NM1,0,0,0,M_G,0,0,0,0,0,0,0,0,M_D,M_BS
NM2,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,M_G,0,0,0,0,0,0,0,M_BS,M_D,0
PM2,M_G,0,0,M_D,0,0,0,0,0,0,0,M_BS,0,0
PM3,M_DG,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
VDD,0,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,0,0,0
VOUT1,0,0,0,0,M_D,0,0,0,M_D,0,0,0,0,0
VSS,0,0,0,0,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0
