,IB1,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NPN1,NPN2,NPN3,NPN4,NPN5,NPN6,PNP1,PNP2,PNP3,PNP4,PNP5,PNP6,R1,VDD,VIN1,VIN2,VOUT1,VSS
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_E,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,B_B,B_BC,B_E,0,0,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,B_E,B_BC,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_B,0,0,0,B_C,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,B_B,0,B_C,0,0,0,0,0,0,0,B_C,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,B_BC,0,0,B_B,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,B_C,0,0,0,0,0,B_BC,B_B,0,0,0,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,B_C,0,0,0,0,0,0
NPN1,0,0,B_E,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN3,0,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN4,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN5,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E
NPN6,0,B_E,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0
PNP1,0,0,0,0,0,0,B_BC,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNP2,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0
PNP3,0,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0
PNP4,B_E,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0
PNP5,B_E,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0
PNP6,0,0,0,0,0,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,B_E,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_B,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,0,B_C,0,0,0,0,R_C,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,B_E,B_E,B_E,B_E,0,0,0,0,0,0,0,R_C,0,0,0,0,0
