,C1,C2,C3,C4,L1,NET1,NET2,NET3,NET4,NET5,NM1,PM1,R1,R2,R3,VDD,VSS
C1,0,0,0,0,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,C_C,0,C_C,0,0,0,0,0,0,0
C3,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,C_C
C4,0,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,C_C
L1,0,0,0,0,0,L_C,0,0,L_C,0,0,0,0,0,0,0,0
NET1,0,0,0,0,L_C,0,0,0,0,0,0,0,R_C,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,M_D,M_D,0,0,R_C,0,0
NET3,0,C_C,C_C,0,0,0,0,0,0,0,0,0,R_C,R_C,R_C,0,0
NET4,C_C,0,0,0,L_C,0,0,0,0,0,0,0,0,0,0,0,0
NET5,C_C,C_C,0,C_C,0,0,0,0,0,0,M_G,M_G,0,R_C,0,0,0
NM1,0,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,0,M_BS
PM1,0,0,0,0,0,0,M_D,0,0,M_G,0,0,0,0,0,M_BS,0
R1,0,0,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0
R3,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0,0,0,0
VSS,0,0,C_C,C_C,0,0,0,0,0,0,M_BS,0,0,0,0,0,0
