,C1,IB1,IB2,IB3,IB4,NET1,NET2,NM1,NM2,NM3,NM4,NM5,PM1,PM2,PM3,PM4,VDD,VIN1,VOUT1,VSS
C1,0,0,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_G,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,M_G,0,0,0,0
IB4,C_C,0,0,0,0,0,0,M_G,0,0,0,M_D,0,0,0,0,0,0,0,0
NET1,C_C,0,0,0,0,0,0,0,M_G,0,M_D,M_G,0,0,M_D,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,M_D,0,0,0,0
NM1,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_S,M_B
NM2,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM3,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM4,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM5,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_G,0,M_D
PM2,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,M_G,M_D
PM3,0,M_S,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,0,M_B,0,0,0
PM4,0,M_S,0,M_G,0,0,M_D,0,0,0,0,0,0,0,0,0,M_B,0,0,0
VDD,0,0,0,0,0,0,0,M_D,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,M_S,M_D,0,0,0,0,M_G,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,M_B,M_BS,M_BS,M_BS,M_BS,M_D,M_D,0,0,0,0,0,0
