,DIO1,NET10,NET11,NET12,NET13,NET14,NET2,NET3,NET4,NET5,NET6,NET7,NET8,NET9,NM1,NM2,PM1,PM2,PM3,PM4,PM5,PM6,PNP1,PNP2,R1,R2,R3,VDD,VOUT1,VSS
DIO1,0,0,0,0,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_P
NET10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0
NET11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,R_C,0,0,0,0,0
NET12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET13,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_G,0,0,0,M_G,M_G,0,0,0,0,R_C,0,0,0
NET14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_G,M_G,M_D,0,0,0,0,0,R_C,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0,M_B,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_D,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0
NET8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_S,0,0,0,0,0,0,0,0
NET9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0,0
NM1,0,M_S,0,M_G,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM2,0,0,0,M_G,M_D,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
PM1,0,0,0,0,M_G,0,0,0,0,M_B,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0
PM2,0,0,0,0,0,M_G,0,0,0,M_B,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0
PM3,0,0,0,0,0,M_G,0,M_B,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0
PM4,0,0,0,0,0,M_G,0,0,M_B,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0
PM5,0,0,0,0,M_G,M_D,0,0,M_B,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PM6,0,0,0,0,M_G,0,0,M_B,0,0,0,M_D,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNP1,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
PNP2,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_BC
R1,0,0,R_C,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R3,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,M_S,M_S,0,0,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,R_C,0,0,0,0
VSS,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,0,0,0,0,0,0,B_BC,B_BC,0,R_C,0,0,0,0
