,IB1,NET1,NET2,NET3,PM1,PM2,PM3,PM4,R1,R2,VDD,VOUT1,VSS
IB1,0,0,0,0,0,M_G,0,M_G,0,R_C,0,0,0
NET1,0,0,0,0,0,0,M_D,M_S,0,0,0,0,0
NET2,0,0,0,0,M_D,M_S,0,0,0,0,0,0,0
NET3,0,0,0,0,M_G,M_D,M_G,0,0,R_C,0,0,0
PM1,0,0,M_D,M_G,0,0,0,0,0,0,M_BS,0,0
PM2,M_G,0,M_S,M_D,0,0,0,0,0,0,M_B,0,0
PM3,0,M_D,0,M_G,0,0,0,0,0,0,M_BS,0,0
PM4,M_G,M_S,0,0,0,0,0,0,0,0,M_B,M_D,0
R1,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R2,R_C,0,0,R_C,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,M_BS,M_B,M_BS,M_B,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,M_D,R_C,0,0,0,0
VSS,0,0,0,0,0,0,0,0,R_C,0,0,0,0
