,C1,C2,IB1,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,R1,R2,R3,R4,VB1,VB2,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,C_C
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
IB1,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET1,0,0,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,M_G,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
NET3,0,0,0,0,0,0,0,M_G,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,M_D,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0
NM1,0,0,M_S,0,0,M_G,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM2,0,0,M_S,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B
NM3,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_D,M_B
NM4,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_D,0,M_B
R1,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0
R2,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0
R3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
R4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
VB1,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0
VB2,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0
VOUT1,C_C,0,0,0,0,0,0,0,0,0,M_D,0,0,0,R_C,0,0,0,0,0,0,0,0
VOUT2,0,C_C,0,0,0,0,0,0,0,M_D,0,0,0,R_C,0,0,0,0,0,0,0,0,0
VSS,C_C,C_C,0,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0,0,0
