,IB1,IB2,NM1,NM2,NM3,NM4,R1,R2,R3,R4,VDD,VIN1,VIN2,VOUT1,VOUT2,VSS
IB1,0,0,0,M_G,M_DS,M_S,0,0,0,0,0,0,0,0,0,0
IB2,0,0,M_GS,M_S,0,M_D,0,0,0,0,0,0,0,0,0,0
NM1,0,M_GS,0,0,0,0,0,0,0,0,0,0,0,M_D,0,M_B
NM2,M_G,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_B
NM3,M_DS,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_B
NM4,M_S,M_D,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_B
R1,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0,0
R2,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0
R3,0,0,0,0,0,0,0,0,0,0,R_C,0,0,R_C,0,0
R4,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0
VIN1,0,0,0,0,M_G,0,R_C,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,M_G,0,R_C,0,0,0,0,0,0,0,0
VOUT1,0,0,M_D,0,0,0,R_C,0,R_C,0,0,0,0,0,0,0
VOUT2,0,0,0,M_D,0,0,0,R_C,0,R_C,0,0,0,0,0,0
VSS,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0,0,0,0,0
