,IB1,IB2,IIN1,IOUT1,NET1,NET2,NM1,NM2,NM3,NM4,NM5,NM6,VB1,VSS
IB1,0,0,0,0,0,0,0,0,0,0,M_G,M_D,0,0
IB2,0,0,0,0,0,0,M_DG,0,0,0,0,M_G,0,0
IIN1,0,0,0,0,0,0,0,M_G,M_D,M_G,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0
NET1,0,0,0,0,0,0,0,0,0,M_D,M_S,0,0,0
NET2,0,0,0,0,0,0,0,M_D,M_S,0,0,0,0,0
NM1,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,M_G,0,0,M_D,0,0,0,0,0,0,0,M_BS
NM3,0,0,M_D,0,0,M_S,0,0,0,0,0,0,M_G,M_B
NM4,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,M_BS
NM5,M_G,0,0,M_D,M_S,0,0,0,0,0,0,0,0,M_B
NM6,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,M_BS
VB1,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0
VSS,0,0,0,0,0,0,M_BS,M_BS,M_B,M_BS,M_B,M_BS,0,0
