,IB1,IB2,NET1,NM1,NM2,PM1,PM2,PM3,PM4,VDD,VIN1,VIN2,VOUT1,VREF1,VSS
IB1,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0
IB2,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0
NET1,0,0,0,M_DG,0,0,M_D,M_D,0,0,0,0,0,0,0
NM1,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM2,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,0,M_BS
PM1,0,M_S,0,0,0,0,0,0,0,M_B,0,0,M_D,M_G,0
PM2,0,M_S,M_D,0,0,0,0,0,0,M_B,0,M_G,0,0,0
PM3,M_S,0,M_D,0,0,0,0,0,0,M_B,M_G,0,0,0,0
PM4,M_S,0,0,0,0,0,0,0,0,M_B,0,0,M_D,M_G,0
VDD,0,0,0,0,0,M_B,M_B,M_B,M_B,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,M_DG,M_D,0,0,M_D,0,0,0,0,0,0
VREF1,0,0,0,0,0,M_G,0,0,M_G,0,0,0,0,0,0
VSS,0,0,0,M_BS,M_BS,0,0,0,0,0,0,0,0,0,0
