,IIN1,IOUT1,NET1,NET2,NET3,NET4,NM1,NM2,NM3,NM4,NM5,NM6,VSS
IIN1,0,0,0,0,0,0,M_G,M_DG,0,0,0,0,0
IOUT1,0,0,0,0,0,0,0,0,0,0,M_D,0,0
NET1,0,0,0,0,0,0,M_S,0,M_D,M_G,0,M_G,0
NET2,0,0,0,0,0,0,0,0,M_S,M_D,0,0,0
NET3,0,0,0,0,0,0,0,0,0,0,M_S,M_D,0
NET4,0,0,0,0,0,0,M_D,M_S,M_G,0,M_G,0,0
NM1,M_G,0,M_S,0,0,M_D,0,0,0,0,0,0,M_B
NM2,M_DG,0,0,0,0,M_S,0,0,0,0,0,0,M_B
NM3,0,0,M_D,M_S,0,M_G,0,0,0,0,0,0,M_B
NM4,0,0,M_G,M_D,0,0,0,0,0,0,0,0,M_BS
NM5,0,M_D,0,0,M_S,M_G,0,0,0,0,0,0,M_B
NM6,0,0,M_G,0,M_D,0,0,0,0,0,0,0,M_BS
VSS,0,0,0,0,0,0,M_B,M_B,M_B,M_BS,M_B,M_BS,0
