,NET2,NET3,NET4,NET5,NET6,NET7,NPN1,NPN2,NPN3,PNP1,PNP2,R1,R2,R3,R4,R5,VDD,VOUT1,VSS
NET2,0,0,0,0,0,0,B_B,0,0,0,0,R_C,0,0,R_C,R_C,0,0,0
NET3,0,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,0,0,0,0,0
NET4,0,0,0,0,0,0,0,B_B,0,0,0,R_C,0,0,0,0,0,0,0
NET5,0,0,0,0,0,0,B_E,0,0,0,0,0,R_C,R_C,0,0,0,0,0
NET6,0,0,0,0,0,0,0,B_C,0,B_B,B_BC,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,B_C,0,B_B,B_C,0,0,0,0,0,0,0,0,0
NPN1,B_B,0,0,B_E,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,B_E,B_B,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN3,0,0,0,0,0,B_B,0,0,0,0,0,0,0,0,0,0,B_C,B_E,0
PNP1,0,0,0,0,B_B,B_C,0,0,0,0,0,0,0,0,0,0,B_E,0,0
PNP2,0,0,0,0,B_BC,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0
R1,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R2,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,R_C,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R5,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,0,0,0,B_C,B_E,B_E,0,0,0,0,0,0,0,0
VOUT1,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,R_C,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,R_C,0,0,0,0
