,C1,C2,DIO1,DIO2,DIO3,DIO4,NET1,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM2,NM3,PM1,PM2,PM3,PM4,PM5,PM6,PM7,PM8,R1,R2,R3,R4,VCONT1,VDD,VREF1,VSS
C1,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C
C2,0,0,0,0,0,0,0,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,0,0
DIO1,0,0,0,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
DIO2,0,0,0,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
DIO3,0,0,0,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
DIO4,0,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N
NET1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,M_G,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,M_D,0,0,0,0,0,0,R_C,0,0,0,0
NET3,0,C_C,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,M_S,0,M_G,M_G,M_G,M_G,M_D,0,0,0,0,0,0,0,0,0
NET4,0,0,D_P,D_P,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0
NET5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,R_C,R_C,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,M_D,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,M_G,M_DG,0,0,0,0,0,0,0,0
NM1,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,M_BS
NM2,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
NM3,0,0,0,0,0,0,M_G,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS
PM1,0,0,0,0,0,0,0,M_G,M_S,0,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0
PM2,0,0,0,0,0,0,0,0,0,0,M_G,M_D,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,0,0
PM3,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,M_D,0
PM4,0,0,0,0,0,0,0,0,M_G,0,M_D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM5,0,0,0,0,0,0,0,M_D,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM6,0,0,0,0,0,0,M_D,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM7,0,0,0,0,0,0,0,0,M_D,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
PM8,0,0,0,0,0,0,0,0,0,0,0,0,M_DG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BS,0,0
R1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C,R_C
R2,0,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R3,0,0,0,0,0,0,0,0,0,R_C,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R4,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VDD,0,C_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_B,M_B,M_BS,M_BS,M_BS,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0
VREF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,R_C,0,0,0,0,0,0,0
VSS,C_C,0,D_N,D_N,D_N,D_N,0,0,0,0,0,0,0,M_BS,M_BS,M_BS,0,0,0,0,0,0,0,0,R_C,R_C,0,R_C,0,0,0,0
