,DIO1,DIO2,IB1,IB2,IB3,NET2,NET3,NET4,NET5,NET6,NET7,NM1,NM2,NPN1,NPN2,NPN3,NPN4,PM1,PM2,PM3,PM4,R1,R2,VCONT1,VCONT2,VDD,VIN1,VIN2,VSS
DIO1,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N,0,0,0
DIO2,0,0,0,0,0,0,0,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D_N,0,0,0
IB1,0,0,0,0,0,0,0,0,0,0,0,0,M_S,0,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0
IB2,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,0,0,0,0,M_S,0,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET2,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_B,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0
NET3,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NET4,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0,0,0
NET5,0,D_P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_E,0,0,0,0,0,0,0,0,0,0,0,0
NET6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C,B_B,0,0,0,0,R_C,0,0,0,0,0,0,0
NET7,0,0,0,0,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,M_S,M_S,0,0,0,0,0,0,0,0
NM1,0,0,0,0,M_S,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BD
NM2,0,0,M_S,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BD
NPN1,0,0,0,B_E,B_B,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN2,0,0,0,0,0,B_B,B_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
NPN3,0,0,B_B,B_E,0,0,0,0,0,B_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPN4,0,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B_C
PM1,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BD,0,0,0
PM2,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B,M_D,0,0
PM3,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_BD,0,0,0
PM4,0,0,0,0,0,0,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,M_B,0,M_D,0
R1,0,0,0,0,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
R2,0,0,0,0,0,R_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R_C
VCONT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_G,0,M_G,0,0,0,0,0,0,0,0
VDD,D_N,D_N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_BD,M_B,M_BD,M_B,0,0,0,0,0,0,0,0
VIN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0,0,0
VIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M_D,0,0,0,0,0,0,0,0
VSS,0,0,0,0,0,0,0,0,0,0,0,M_BD,M_BD,0,B_C,0,B_C,0,0,0,0,R_C,R_C,0,0,0,0,0,0
