,C1,C2,NET1,NET2,NM1,NM2,NM3,NM4,PM1,VCONT1,VCONT2,VCONT3,VDD,VIN1,VOUT1,VSS
C1,0,0,C_C,C_C,0,0,0,0,0,0,0,0,0,0,0,0
C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_C,C_C
NET1,C_C,0,0,0,M_D,0,0,M_D,0,0,0,0,0,0,0,0
NET2,C_C,0,0,0,0,M_S,M_G,0,M_G,0,0,0,0,0,0,0
NM1,0,0,M_D,0,0,0,0,0,0,0,M_G,0,0,M_S,0,M_B
NM2,0,0,0,M_S,0,0,0,0,0,0,0,M_G,0,0,M_D,M_B
NM3,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,M_D,M_BS
NM4,0,0,M_D,0,0,0,0,0,0,M_G,0,0,0,0,0,M_BS
PM1,0,0,0,M_G,0,0,0,0,0,0,0,0,M_BS,0,M_D,0
VCONT1,0,0,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0
VCONT2,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0,0
VCONT3,0,0,0,0,0,M_G,0,0,0,0,0,0,0,0,0,0
VDD,0,0,0,0,0,0,0,0,M_BS,0,0,0,0,0,0,0
VIN1,0,0,0,0,M_S,0,0,0,0,0,0,0,0,0,0,0
VOUT1,0,C_C,0,0,0,M_D,M_D,0,M_D,0,0,0,0,0,0,0
VSS,0,C_C,0,0,M_B,M_B,M_BS,M_BS,0,0,0,0,0,0,0,0
