,IB1,IB2,IB3,IOUT1,IOUT2,NPN1,NPN2,NPN3,NPN4,R1,R2,VDD,VSS
IB1,0,0,0,0,0,0,B_E,0,B_E,0,0,0,0
IB2,0,0,0,0,0,B_E,B_B,0,0,0,0,0,0
IB3,0,0,0,0,0,0,0,B_E,B_B,0,0,0,0
IOUT1,0,0,0,0,0,0,B_C,0,0,R_C,0,0,0
IOUT2,0,0,0,0,0,0,0,0,B_C,0,R_C,0,0
NPN1,0,B_E,0,0,0,0,0,0,0,0,0,B_C,B_B
NPN2,B_E,B_B,0,B_C,0,0,0,0,0,0,0,0,0
NPN3,0,0,B_E,0,0,0,0,0,0,0,0,B_C,B_B
NPN4,B_E,0,B_B,0,B_C,0,0,0,0,0,0,0,0
R1,0,0,0,R_C,0,0,0,0,0,0,0,R_C,0
R2,0,0,0,0,R_C,0,0,0,0,0,0,R_C,0
VDD,0,0,0,0,0,B_C,0,B_C,0,R_C,R_C,0,0
VSS,0,0,0,0,0,B_B,0,B_B,0,0,0,0,0
